STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,,,,,,
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Clearwater Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Clermont Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Cocoa Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Coral Gables Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Davenport Police Department,Municipality,#N/A,Task Force Model,2025-04-25 00:00:00,link pending ,,,,,,
FLORIDA,Davie Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Daytona Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Daytona Beach Shores Public Safety,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Deland Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Edgewood Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Eustis Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Florida A&M University Board of Trustees,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link,,,,,,
FLORIDA,Florida Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-08-21 00:00:00,link,,,,,,
FLORIDA,Florida Department of Financial Services,State Agency,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,"Florida Department of Highway Safety and Motor Vehicles, Division of Highway Patrol",State Agency,#N/A,Task Force Model,2025-02-07 00:00:00,link,,,,,,
FLORIDA,Florida Department of Law Enforcement,State Agency,#N/A,Task Force Model,2025-02-14 00:00:00,link,,,,,,
FLORIDA,Florida Department of Lottery Services ,State Agency,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Florida Fish and Wildlife Conservation Commission,State Agency,#N/A,Task Force Model,2025-02-14 00:00:00,link,,,,,,
FLORIDA,Florida Gulf Coast University Police Department,State Agency,#N/A,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
FLORIDA,Florida National Guard,State Agency,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Florida Southwestern State College Police Department,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link,,,,,,
FLORIDA,Florida State Guard,State Agency,#N/A,Task Force Model,2025-03-19 00:00:00,link,,,,,,
FLORIDA,Fort Walton Beach Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Franklin County Sheriff's Office,County,Franklin County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Franklin County Sheriff's Office,County,Franklin County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Gadsden County Sheriff's Office,County,Gadsden County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gadsden County Sheriff's Office,County,Gadsden County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Gilchrist County Sheriff's Office,County,Gilchrist County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gilchrist County Sheriff's Office,County,Gilchrist County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Glades County Sheriff's Office,County,Glades County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Glades County Sheriff's Office,County,Glades County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Green Cove Springs Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Gulf County Board of County Commissioners,County,Gulf County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gulf County Sheriff's Office,County,Gulf County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Gulfport Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link pending ,,,,,,
FLORIDA,Hamilton County Sheriff's Office,County,Hamilton County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Hamilton County Sheriff's Office,County,Hamilton County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Hardee County Sheriff's Office,County,Hardee County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hardee County Sheriff's Office,County,Hardee County ,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
FLORIDA,Havana Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Hendry County Sheriff's Office,County,Hendry County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Hendry County Sheriff's Office,County,Hendry County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,High Springs Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Highland Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Highlands County Sheriff's Office,County,Highlands County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Highlands County Sheriff's Office,County,Highlands County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Hillsborough County Sheriff's Office,County,Hillsborough County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hillsborough County Sheriff's Office,County,Hillsborough County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Holly Hill Police Department,Municipality,#N/A,Task Force Model,2025-05-08 00:00:00,link pending ,,,,,,
FLORIDA,Holmes Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link pending ,,,,,,
FLORIDA,Holmes County Sheriff's Office,County,Holmes County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Holmes County Sheriff's Office,County,Holmes County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Indialantic Police Department,Municipality,#N/A,Task Force Model,2025-05-13 00:00:00,link pending ,,,,,,
FLORIDA,Indian Harbour Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Indian River County Sheriff's Office,County,Indian River County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Indian River County Sheriff's Office,County,Indian River County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Indian River Shores Department of Public Safety,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Indian Shores Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link pending ,,,,,,
FLORIDA,Jackson County Correctional Facility,County,Jackson County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Jackson County Sheriff's Office,County,Jackson County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Jacksonville Sheriff's Office,County,Duval County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Jacksonville Sheriff's Office,County,Duval County,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Jefferson County Sheriff's Office,County,Jefferson County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Jefferson County Sheriff's Office,County,Jefferson County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Juno Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Jupiter Inlet Colony Police Department,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Jupiter Island Department of Public Safety,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Jupiter Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Kenneth City Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Key Colony Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Key West Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Lady Lake Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Lafayette County Sheriff's Office,County,Lafayette County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Lafayette County Sheriff's Office,County,Lafayette County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Lake City Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Lake Clark Shores Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link pending,,,,,,
FLORIDA,Lake County Sheriff's Office,County,Lake County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Lake County Sheriff's Office,County,Lake County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
